actorid;name;date_of_birth;birth_city;birth_country;height_inches;biography;gender;ethnicity;networth
876;Bebe Neuwirth;1958-12-31;Princeton;USA;64;"Beatrice ""Bebe"" Neuwirth is the daughter of Sydney Anne, an artist, and Lee Paul Neuwirth, a mathematician. Born and raised in Princeton, New Jersey, she started out as a dancer. Her New York career started out in ""A Chorus Line"". She won a Tony Award for her part in ""Sweet Charity"" and two Emmy Awards for Outstanding Supporting Actress in a ...";Female;;10000000
2108;Bee Vang;1991-11-04;Fresno;USA;66;Bee Vang was born on November 4, 1991 in Fresno, California, USA. He is an actor and writer, known for Gran Torino (2008), Sunset on Dawn/Kho Neeg and Our New President (2018).;Male;;100000
1015;Ben Affleck;1972-08-15;Berkeley;USA;75;"American actor and filmmaker Benjamin G�za Affleck-Boldt was born on August 15, 1972 in Berkeley, California, and was raised in Cambridge, Massachusetts. His mother, Chris Anne (n�e Boldt), is a school teacher, and his father, Timothy Byers Affleck, is a social worker; the two are divorced. Ben has a younger brother, actor Casey Affleck, who was ...";Male;White;150000000
2178;Ben Barnes;1981-08-20;London;UK;73;British actor Benjamin Thomas Barnes was born in London, England, to Patricia (Becker), a relationship therapist, and Thomas Barnes, a professor of psychiatry. He has a brother, Jack. His mother is from South Africa while his father is English. Barnes studied at Homefield Preparatory and Kings College, both independent all boys schools. He began ...;Male;White;2000000
592;Ben Kingsley;1943-12-31;Scarborough;UK;68;Ben Kingsley was born Krishna Bhanji on December 31, 1943 in Scarborough, Yorkshire, England. His father, Rahimtulla Harji Bhanji, was a Kenyan-born medical doctor, of Gujarati Indian descent, and his mother, Anna Lyna Mary (Goodman), was an English actress. Ben began to act in stage plays during the 1960s. He soon became a successful stage actor,...;Male;;60000000
2548;Ben Reed;1965-05-01;Bixby;USA;;Ben Reed was born on May 1, 1965 in Bixby, Oklahoma, USA as Benjamin Lee Reed. He is an actor and producer, known for American Sniper (2014), Starcrossed (2014) and The Greatest Showman (2017).;Male;White;
844;Ben Stein;1944-11-25;Washington;USA;61;Ben Stein (Benjamin J. Stein) was born on Nov. 25, 1944 in Washington, D.C. The son of noted economist and writer Herbert Stein, he grew up in Silver Spring, Md., and attended Montgomery Blair High School. Some of his classmates included journalist Carl Bernstein, and actors Goldie Hawn and Sylvester Stallone. He graduated from Columbia University...;Male;;
1123;Ben Stiller;1965-11-30;New York City;USA;67;Benjamin Edward Meara Stiller was born on November 30, 1965, in New York City, New York, to legendary comedians Jerry Stiller and Anne Meara. His father is of Austrian Jewish and Polish Jewish descent, and his mother was of Irish Catholic descent (she converted to Judaism). His parents made no real effort to keep their son away from the Hollywood ...;Male;White;200000000
2445;Ben Whishaw;1980-10-14;Clifton;UK;69;Proclaimed by many critics as one of the best young actors of his generation, Benjamin John Whishaw was born in Clifton, Bedfordshire, to Linda (Hope), who works in cosmetics, and Jose Whishaw, who works in information technology. He has a twin brother, James. He is of French, German, Russian (father) and English (mother) descent. Ben attended ...;Male;;2000000
2514;Benedict Cumberbatch;1976-07-19;Hammersmith;UK;72;Benedict Timothy Carlton Cumberbatch was born and raised in London, England. His parents, Wanda Ventham and Timothy Carlton (born Timothy Carlton Congdon Cumberbatch), are both actors. He is a grandson of submarine commander Henry Carlton Cumberbatch, and a great-grandson of diplomat Henry Arnold Cumberbatch CMG. Cumberbatch attended Brambletye ...;Male;White;40000000
1373;Benicio Del Toro;1967-02-19;San Germ�n;Puerto Rico;74;Benicio Del Toro emerged in the mid-1990s as one of the most watchable and charismatic character actors to come along in years. A favorite of film buffs, Del Toro gained mainstream public attention as the conflicted but basically honest Mexican policeman in Steven Soderberghs Traffic (2000). Benicio was born on February 19, 1967 in San Germ�n, ...;Male;Hispanic;45000000
673;Benjamin Bratt;1963-12-16;San Francisco;USA;73;The middle of five children, Bratt hails from a close-knit family. His mother, an indigenous Quechua Peruvian from Lima, moved to the U.S. at age 14. He grew up in San Francisco. He is known for his roles in the films Traffic (2000), Miss Congeniality (2000), and Despicable Me 2 (2013). He is married to actress Talisa Soto.;Male;;12000000
245;Benjamin Mouton;1965-03-13;Lafayette;USA;;Benjamin Mouton was born and raised in Lafayette, Louisiana. After receiving his degree in English from the University Of S.W. Louisiana, he went to New York to study acting at the respected American Academy of Dramatic Arts, where he received the prestigious Jehlinger Award in 1984. In 1997 he was nominated for Best Supporting Actor at the Lone ...;Male;White;
